FPR,TPR
0.0,0.0720720720721
0.0103092783505,0.0990990990991
0.020618556701,0.144144144144
0.0309278350515,0.189189189189
0.0515463917526,0.225225225225
0.0721649484536,0.243243243243
0.103092783505,0.252252252252
0.113402061856,0.27027027027
0.154639175258,0.324324324324
0.164948453608,0.36036036036
0.175257731959,0.369369369369
0.185567010309,0.378378378378
0.20618556701,0.423423423423
0.216494845361,0.441441441441
0.226804123711,0.45045045045
0.237113402062,0.459459459459
0.257731958763,0.477477477477
0.268041237113,0.513513513514
0.288659793814,0.522522522523
0.298969072165,0.540540540541
0.309278350515,0.54954954955
0.319587628866,0.594594594595
0.329896907216,0.603603603604
0.340206185567,0.621621621622
0.350515463918,0.648648648649
0.360824742268,0.657657657658
0.371134020619,0.675675675676
0.381443298969,0.684684684685
0.40206185567,0.693693693694
0.412371134021,0.702702702703
0.422680412371,0.720720720721
0.432989690722,0.72972972973
0.443298969072,0.738738738739
0.463917525773,0.765765765766
0.474226804124,0.783783783784
0.515463917526,0.792792792793
0.556701030928,0.801801801802
0.577319587629,0.81981981982
0.587628865979,0.837837837838
0.618556701031,0.855855855856
0.628865979381,0.864864864865
0.639175257732,0.90990990991
0.649484536082,0.927927927928
0.659793814433,0.936936936937
0.680412371134,0.963963963964
0.690721649485,0.981981981982
0.701030927835,0.990990990991
1.0,0.990990990991
