numEpochs,Accuracy,set
1,0.533664374841,train
1,0.534586466165,test
10,0.748360354243,train
10,0.635588972431,test
100,0.854180460063,train
100,0.65037593985,test
1000,0.917231134878,train
1000,0.660401002506,test
